Email,problem0,problem1,problem2,problem3,problem4,Score
jessie.armetta@gatech.edu,10,10,10,10,10,50
matthew.jacon@yahoo.com,10,10,10,2,5,37
fernando.jenzel@gmail.com,10,10,10,--------,10,40
rosemary.kevondrick@gmail.com,5,7,10,10,10,42
betty.pancho@gmail.com,10,10,10,10,10,50
sharon.syniya@gmail.com,10,10,10,10,10,50
donald.hendrick@gmail.com,5,10,5,--------,5,25
david.luchia@gmail.com,10,10,10,10,10,50
edward.elizaida@gatech.edu,10,10,10,10,10,50
cecelia.iraa@queensu.ca,10,10,10,10,8,48
jasmin.marjona@gmail.com,--------,0,10,10,5,25
charles.monir@gatech.edu,5,10,10,10,6,41
elizabeth.eizabella@gatech.edu,10,10,10,10,10,50
mae.renzie@aol.com,8,10,10,8,10,46
jessie.telesfor@gatech.edu,7,10,10,10,6,43
kristina.lichelle@hotmail.com,5,10,--------,--------,--------,15
christine.leani@yahoo.com,5,7,10,4,6,32
brian.nansy@gmail.com,10,10,10,--------,1,31
randolph.nathalye@gmail.com,7,10,10,9,10,46
matthew.amidala@gmail.com,10,10,10,10,5,45
susan.sanai@gatech.edu,10,10,10,10,10,50
samiel.yustin@gatech.edu,10,10,10,2,10,42
isabella.suesan@gmail.com,10,10,10,10,6,46
devon.jayion@gmail.com,10,10,10,8,6,44
jasmine.cread@gatech.edu,10,10,10,6,10,46
jamilah.marcellyn@yahoo.com,10,10,10,10,5,45
daniel.raihan@gmail.com,10,10,10,10,10,50
arlyn.orlandra@gmail.com,10,10,10,10,10,50
joseph.neethu@gmail.com,10,10,10,6,5,41
mary.kavaris@gmail.com,5,7,10,7,10,39
michael.jakeil@gmail.com,10,10,10,10,10,50
destiny.charnaye@gatech.edu,10,10,10,10,10,50
aneesa.blaidyn@aol.com,10,10,10,10,10,50
nathan.raylean@hotmail.com,10,10,10,10,6,46
kayla.bhavna@gatech.edu,5,10,1,6,10,32
richard.chontell@gmail.com,5,7,10,0,5,27
john.mckoy@nu.edu.kz,10,10,10,10,10,50
stella.latreace@gmail.com,10,7,10,0,5,32
william.sanvi@gmail.com,5,7,10,6,5,33
lillyanna.dester@poczta.onet.pl,10,10,10,10,10,50
leonard.fidensio@valensdatalabs.com,10,10,10,2,10,42
fatima.shack@gmail.com,10,10,10,10,6,46
hetty.jenyka@gmail.com,10,10,10,10,10,50
allison.link@yahoo.com,2,0,0,0,5,7
mary.amedio@gatech.edu,10,10,10,--------,6,36
max.nequita@valensdatalabs.com,10,10,10,10,10,50
michael.johnjack@gmail.com,10,10,10,10,10,50
ronald.elfie@gmail.com,10,10,10,10,5,45
george.hinata@gatech.edu,10,10,10,10,10,50
jan.taqi@gatech.edu,10,7,10,10,10,47
maryanne.kayge@gmail.com,10,10,10,4,10,44
leena.roah@gatech.edu,10,10,10,10,10,50
rene.amritpal@gmail.com,10,10,10,10,10,50
randy.vincente@me.com,10,10,10,--------,5,35
boston.shyera@gmail.com,3,10,10,0,5,28
thomas.masao@gmail.com,7,7,10,10,6,40
kai.rex@gmail.com,10,8,10,4,10,42
andrew.jlah@hotmail.co.uk,10,10,10,10,10,50
jessi.reggan@gmail.com,10,10,10,10,10,50
philip.lebarron@gmail.com,10,10,10,10,10,50
abigail.alizah@umich.edu,4,5,10,8,5,32
scarlett.abyssinia@gatech.edu,10,10,10,10,10,50
justin.jernee@gatech.edu,10,10,10,10,10,50
pamela.chasitity@gatech.edu,5,7,10,--------,1,23
jude.ahsir@gatech.edu,10,10,10,10,10,50
denise.zykai@gmail.com,10,10,10,10,10,50
conrad.rhonisha@vt.edu,5,10,10,10,10,45
damon.martise@gmail.com,10,10,10,10,10,50
kathryn.colt@mycit.ie,10,10,10,6,5,41
george.kayleeanna@gmail.com,8,10,10,3,10,41
blair.olivianna@gmail.com,10,7,10,10,10,47
john.ladia@mycit.ie,10,10,10,10,10,50
myron.caidin@gatech.edu,10,7,10,10,10,47
timothy.bunita@gmail.com,10,10,10,10,10,50
henry.marcenia@hel.fi,8,10,10,3,10,41
pamela.vigo@gmail.com,10,10,10,10,10,50
madeline.soila@gatech.edu,10,10,10,10,10,50
angel.eddison@gmail.com,5,10,10,0,10,35
charles.saya@gmail.com,10,10,10,10,10,50
david.zackaree@gmail.com,10,10,10,10,10,50
steven.marleyrae@gmail.com,10,10,10,10,10,50
coltin.taliya@hotmail.com,10,10,10,10,6,46
bryce.daziah@gmail.com,7,10,10,10,10,47
david.duella@gmail.com,10,10,10,10,10,50
barbara.wilhemina@gatech.edu,3,0,1,0,5,9
lowell.tylek@gatech.edu,5,10,10,10,10,45
lyrik.tasmine@hotmail.com,10,10,10,10,10,50
michelle.lawana@gmail.com,10,10,10,10,10,50
zitlaly.nester@valensdatalabs.com,10,10,10,8,10,48
john.sebria@online.de,10,10,10,10,10,50
lillian.pragna@gatech.edu,10,7,10,10,10,47
landen.micaela@gmail.com,--------,5,1,--------,5,11
bobby.dezya@gmail.com,10,10,10,10,10,50
jeanine.antesha@gmail.com,10,10,10,10,10,50
eleanor.lenoria@gmail.com,10,10,10,10,10,50
james.makaleb@gmail.com,5,7,10,6,5,33
sherrie.rury@gmail.com,10,10,10,10,10,50
tina.davontaye@gmail.com,10,10,10,2,10,42
aaliyah.tayviona@gatech.edu,3,2,10,8,10,33
david.caswell@duke.edu,10,10,10,7,5,42
christopher.sharad@hotmail.com,10,7,10,--------,0,27
galen.marilia@gmail.com,10,7,10,10,10,47
phoebe.cambi@gmail.com,10,7,--------,0,5,22
louann.jarique@gmail.com,10,10,10,4,5,39
africa.zevion@gmail.com,3,5,10,--------,5,23
janet.tenaj@gmail.com,10,10,10,7,5,42
savanna.equasha@gatech.edu,3,7,10,8,6,34
dana.branch@gmail.com,10,10,10,10,10,50
stacie.swadha@gmail.com,10,10,10,10,5,45
seneca.nasaria@gmail.com,10,10,10,10,10,50
david.viletta@gmail.com,3,7,10,2,5,27
philip.yoshinobu@gmail.com,10,10,10,0,5,35
kamil.keiarah@gmail.com,10,10,10,10,10,50
betsy.rictoria@bucknell.edu,5,7,10,--------,5,27
ryo.hinano@hotmail.co.jp,10,7,10,10,5,42
thomas.marlize@gmail.com,10,5,10,10,10,45
andrea.shayaan@gmail.com,10,10,10,10,5,45
jose.lakeeshia@rocketmail.com,10,10,10,10,10,50
adam.evemarie@gmail.com,10,10,10,10,5,45
mary.pasquinel@gmail.com,3,7,1,--------,5,16
holly.chintan@msn.com,10,10,10,2,10,42
hattie.gabriella@gmail.com,10,10,10,10,10,50
edgar.shifra@googlemail.com,5,--------,10,10,5,30
larry.girlene@gmail.com,10,10,10,10,10,50
michael.volvi@gatech.edu,10,10,10,10,10,50
abigail.lynnon@gmail.com,5,0,1,--------,1,7
sean.maizley@gmail.com,5,7,10,10,5,37
minnie.akaia@gmail.com,10,10,10,10,6,46
karina.tomea@ucr.edu,10,10,10,10,10,50
carolyn.cherin@gmail.com,5,10,10,10,0,35
gary.lamiek@gmail.com,10,10,10,5,10,45
karin.abbey@gmail.com,10,10,10,10,5,45
sandra.rethia@gmail.com,5,5,1,10,5,26
kari.reighlynn@gatech.edu,10,10,10,10,10,50
charity.rieley@gatech.edu,10,10,10,10,6,46
kassandra.starshema@gatech.edu,10,7,10,10,10,47
joan.christineanne@gmail.com,10,10,10,10,10,50
kimberly.nealon@gmail.com,--------,--------,--------,--------,10,10
marco.avry@gmail.com,10,10,10,10,10,50
alice.matthewdavid@gmail.com,10,10,10,8,10,48
frank.ethelmae@yahoo.com,10,10,10,10,10,50
dana.madisonrose@yahoo.fr,10,10,10,10,6,46
patrick.zyrion@gmail.com,5,10,10,2,5,32
deandre.jazzabella@gmail.com,--------,10,1,6,5,22
michael.latrish@selu.edu,10,10,10,8,10,48
glenda.ashritha@gmail.com,10,10,10,2,6,38
allie.jatziry@gmail.com,3,5,10,10,6,34
sean.henrene@gmail.com,10,10,10,10,10,50
anquette.zeshaun@gmail.com,10,10,10,10,5,45
jillian.myler@gmail.com,10,10,10,6,6,42
joseph.sherburne@gmail.com,10,10,10,10,10,50
brian.aloria@gmail.com,--------,2,--------,--------,--------,2
joyce.adeel@gmail.com,10,10,10,10,6,46
ron.mariadelosangel@gmail.com,10,10,10,10,10,50
juancarlos.carrye@gatech.edu,10,10,10,10,6,46
john.armando@pentafoundation.org,10,10,10,10,10,50
michelle.fionnlagh@gmail.com,10,7,10,--------,10,37
iwao.jency@gmail.com,10,10,10,10,10,50
kenneth.shontae@gmail.com,10,10,10,10,10,50
chad.kamiyra@gatech.edu,5,7,10,10,10,42
kenneth.bryland@gatech.edu,10,10,10,10,10,50
gregory.shondell@gmail.com,10,10,10,10,5,45
carlos.nasra@gatech.edu,10,10,10,10,10,50
annie.jaethan@mail.ru,10,10,10,8,5,43
vivian.kisher@gmail.com,10,7,10,10,10,47
crystal.antwann@gmail.com,10,10,10,10,10,50
tom.wallice@gmail.com,10,10,10,10,10,50
kathy.tavaughn@gmail.com,10,10,10,5,10,45
james.miina@gmail.com,5,10,10,--------,6,31
steven.dashiya@gmail.com,10,10,10,8,6,44
jenna.shaunah@gmail.com,10,10,10,10,10,50
christopher.denean@gatech.edu,10,10,10,10,10,50
jonathan.waheedah@gmail.com,8,10,10,8,5,41
kathleen.morrigan@gmail.com,10,10,10,10,10,50
justin.zende@yahoo.com,10,10,10,5,5,40
payton.michoel@gmail.com,10,10,10,8,10,48
laura.tyzier@hungperfect.com,10,10,10,10,10,50
devan.sameya@gmail.com,10,10,10,10,10,50
eugene.chares@gatech.edu,10,10,10,10,6,46
andrew.rish@hotmail.com,10,10,10,10,10,50
lester.sabrynn@gatech.edu,10,10,10,2,5,37
michael.kavayah@gatech.edu,10,10,10,10,10,50
connie.westlan@hotmail.com,5,7,10,0,5,27
barbara.dewarren@gmail.com,5,10,1,--------,6,22
matthew.juhi@gmail.com,10,10,10,10,10,50
derrick.sacario@gatech.edu,5,10,1,--------,1,17
martha.twanetta@numera.consulting,10,10,10,10,10,50
lester.yesmi@gatech.edu,10,10,10,10,6,46
edwin.dakai@gmail.com,10,10,10,10,5,45
william.artricia@vcu.edu,8,4,10,--------,5,27
alex.yaret@gatech.edu,10,10,10,6,5,41
abraham.clairece@gmail.com,10,10,10,8,10,48
dana.ashliegh@gatech.edu,10,10,10,--------,10,40
gale.syler@gmail.com,10,10,9,0,10,39
jeffrey.raoof@gmail.com,5,10,10,8,10,43
tiffany.quindell@gmail.com,10,10,10,10,10,50
ben.zaida@gatech.edu,7,7,10,10,10,44
audra.kayleh@gmail.com,5,10,10,10,10,45
winston.wymon@gmail.com,10,10,10,10,5,45
gabrielle.prinsha@gmail.com,5,10,10,10,0,35
jerry.zierre@gmail.com,10,10,10,10,10,50
paul.derrin@hawk.iit.edu,10,10,10,10,6,46
kiesha.millard@gmail.com,10,7,10,10,10,47
franklin.ginnette@gmail.com,10,10,10,10,5,45
sierra.kyrsha@gatech.edu,10,10,10,10,6,46
sherry.ayleigh@aol.com,10,10,10,10,10,50
julia.tyrene@gatech.edu,5,7,1,--------,5,18
perla.karynn@gatech.edu,10,10,10,10,5,45
susan.arville@gatech.edu,10,10,10,10,6,46
nichole.bertrice@gmail.com,10,10,10,--------,5,35
brittany.aleta@yahoo.com,10,10,10,10,10,50
elijah.lareta@gatech.edu,10,10,10,10,10,50
bernard.hammie@gatech.edu,10,10,10,10,10,50
anthony.rabi@hotmail.com,10,10,10,10,10,50
geraldine.kingsolomon@gatech.edu,10,10,10,10,10,50
dashay.lanier@gmail.com,10,10,10,10,10,50
patricia.richardjames@gmail.com,10,10,10,10,10,50
sergio.cherye@gmail.com,10,7,10,10,10,47
jenae.torrence@gatech.edu,3,7,10,10,5,35
lola.fysher@gmail.com,10,10,10,10,10,50
peter.branwyn@gmail.com,10,7,10,10,6,43
rita.devun@gmail.com,10,10,10,10,10,50
edna.teerica@gmail.com,10,7,10,10,10,47
peter.kadenn@gmail.com,10,10,10,--------,6,36
harry.dafni@icloud.com,10,10,10,10,10,50
jamie.asadbek@gmail.com,10,10,10,8,10,48
lynn.adarryll@gmail.com,7,10,10,10,5,42
dominic.lexanni@gmail.com,5,7,10,10,10,42
christian.miyisha@yahoo.com,5,7,10,--------,5,27
delaney.dshon@gmail.com,10,10,10,10,10,50
david.brandia@gmail.com,10,10,10,10,10,50
mel.gilman@gatech.edu,3,10,10,0,6,29
paul.jawaski@gmail.com,7,10,10,8,5,40
tina.starsky@outlook.com,10,10,10,10,10,50
florence.jenessa@gmail.com,10,10,10,--------,5,35
linda.sheyli@gmail.com,10,10,10,10,10,50
jarrod.onas@gatech.edu,10,7,10,2,5,34
shree.elica@gatech.edu,8,10,10,8,10,46
david.harun@gmail.com,5,4,1,--------,5,15
zuri.eilleen@gatech.edu,10,10,10,10,10,50
lucy.anouk@gmail.com,10,10,10,10,10,50
brodie.scottia@gmail.com,10,10,10,10,10,50
patricia.flodie@gatech.edu,10,10,10,10,10,50
lauren.tonnisha@gmail.com,10,10,10,2,10,42
lamar.rinya@yahoo.com,10,10,10,10,10,50
elizabeth.eryc@gmail.com,10,10,10,10,10,50
william.piers@gmail.com,10,10,10,10,5,45
michaela.ashauria@gmail.com,10,10,10,10,10,50
amanda.nikya@gmail.com,10,10,10,10,10,50
ara.dagny@outlook.com,10,10,10,10,10,50
mary.daje@gmail.com,10,10,10,0,6,36
sanquita.yhadira@gmail.com,10,10,10,10,10,50
elliott.ehlana@gmail.com,10,7,10,10,6,43
debra.shaheer@gmail.com,10,10,10,10,10,50
ethel.gordon@uoregon.edu,10,10,10,10,10,50
stephen.lakeema@gatech.edu,10,10,10,10,10,50
robert.tolisha@gatech.edu,10,10,10,10,10,50
sarah.chee@ieee.org,10,10,10,10,10,50
matthew.monise@hotmail.com,5,10,10,6,6,37
noah.jamea@gmail.com,10,7,10,10,10,47
luke.joselen@gatech.edu,10,10,10,10,6,46
henry.renasia@gatech.edu,3,10,10,2,6,31
faye.daly@yahoo.com,10,10,10,10,5,45
delores.idele@gmail.com,10,7,10,5,10,42
barbara.kalesi@gmail.com,7,7,10,9,6,39
charles.nando@gmail.com,10,10,10,8,5,43
james.adeanna@email.arizona.edu,10,10,10,2,6,38
lisa.demerion@gmail.com,5,7,5,--------,5,22
brandon.jerrill@gatech.edu,10,10,10,10,10,50
alexis.shondrea@gatech.edu,3,7,6,6,2,24
barbara.hatsumi@gmail.com,10,10,10,10,10,50
rafael.kaston@gatech.edu,8,7,10,10,6,41
alexandra.lacee@madlan.co.il,10,10,10,10,10,50
jacob.ozkar@gmail.com,7,10,5,6,8,36
luis.jonn@gmail.com,10,10,10,4,10,44
damian.imarion@gmail.com,10,10,10,10,10,50
melissa.sherriann@gmail.com,5,7,1,--------,5,18
jack.othmar@gmail.com,10,7,10,10,5,42
aaron.kyerra@foxmail.com,10,10,10,10,10,50
chris.jonithan@gmail.com,10,10,10,10,10,50
gracie.keshav@gmail.com,10,10,10,10,10,50
sammie.jaydaa@gmail.com,10,10,1,0,5,26
abigail.lanty@gatech.edu,10,10,10,7,10,47
mary.damarte@gmail.com,10,10,10,10,10,50
susan.analissa@enactdevelopment.com,10,7,10,10,10,47
samantha.dreami@gmail.com,10,10,10,10,10,50
jason.jadian@gmail.com,5,7,10,10,10,42
gary.adamina@mail.ccsf.edu,10,7,10,--------,6,33
susan.tedrina@gatech.edu,7,7,10,10,5,39
patricia.zuber@gmail.com,10,10,10,10,10,50
heather.courtnay@gmail.com,10,10,10,10,8,48
george.kareema@outlook.com,10,10,10,10,10,50
bennett.shelbert@gmail.com,10,10,10,5,10,45
robert.larico@yahoo.com,10,10,10,10,10,50
audrey.khushbu@gmail.com,3,2,10,10,5,30
lindsey.kinard@hotmail.com,10,10,10,10,6,46
hubert.kezlyn@yandex.ru,10,7,10,6,8,41
ellie.jodean@gmail.com,10,10,10,10,10,50
sheila.vananh@gmail.com,5,7,10,10,10,42
diane.mareo@gmail.com,0,--------,1,8,5,14
anita.sinclaire@yahoo.com,10,10,10,10,10,50
amanda.dvyne@gatech.edu,3,10,10,10,10,43
gabrielle.javierjr@hotmail.com,10,10,10,10,10,50
bailey.mckeyla@gatech.edu,10,10,10,10,10,50
albert.averley@gmail.com,3,7,1,--------,5,16
nancy.lebrandon@gmail.com,10,10,10,10,10,50
leigh.nadiyah@gatech.edu,10,10,10,8,10,48
jessica.rinda@gatech.edu,10,10,10,8,5,43
brian.tylicia@gmail.com,10,10,10,10,10,50
robert.eila@edna.tech,10,10,10,--------,5,35
robert.aveah@web.de,10,10,10,8,5,43
deionte.banisha@gmail.com,4,7,1,0,1,13
daniel.cuauhtli@gmail.com,10,7,10,10,10,47
david.naheem@protonmail.com,3,10,5,5,5,28
robert.gioanna@gatech.edu,5,7,10,10,10,42
sue.ikira@gmail.com,10,10,6,10,10,46
david.zarak@gmail.com,10,7,10,4,10,41
anna.waldron@gatech.edu,5,10,1,--------,5,21
margaret.tim@protonmail.com,10,10,10,10,10,50
eric.xiah@icloud.com,5,7,1,2,5,20
katelyn.sala@hotmail.com,5,10,1,--------,6,22
paul.kaylana@gatech.edu,5,7,10,10,10,42
mark.lakara@yahoo.com,10,10,10,10,10,50
oliver.caila@gatech.edu,10,10,10,10,10,50
cadence.monsserat@gmail.com,10,10,10,7,10,47
jacolyn.deborahh@live.de,5,4,10,0,5,24
mark.trayvond@gatech.edu,10,10,10,10,10,50
tiffany.rexlee@gmail.com,10,7,10,--------,5,32
mary.yahshua@gatech.edu,5,10,5,--------,6,26
nikki.lysander@gmail.com,10,10,10,10,6,46
charlene.cherree@gatech.edu,10,10,10,10,10,50
bradley.dailey@case.edu,10,10,10,10,10,50
patricia.vernell@gmail.com,10,10,10,10,5,45
analysa.taisiya@gmail.com,10,10,10,10,10,50
steven.macray@gmail.com,10,10,10,10,5,45
sarah.kimanh@gatech.edu,3,10,0,0,6,19
christopher.josericardo@gmail.com,5,10,10,--------,10,35
ryne.marialy@gmail.com,10,10,10,10,6,46
kaitlyn.asharie@gatech.edu,10,10,10,10,10,50
bonna.tahisha@yahoo.com,10,10,10,10,10,50
charles.pavni@gmail.com,10,10,10,10,10,50
jenifer.juwuan@gmail.com,10,7,10,10,6,43
meghan.karlotta@gatech.edu,10,10,10,--------,10,40
ruth.ayaa@gmail.com,10,10,10,10,10,50
fernando.djaun@iiitdm.ac.in,5,10,10,8,10,43
martha.chineme@gmail.com,8,10,10,4,6,38
judith.baelie@yahoo.com,10,8,10,10,5,43
braylon.tecia@livemail.tw,5,10,6,--------,5,26
eileen.malu@gmail.com,10,10,10,10,10,50
james.amiee@gmail.com,10,10,10,10,10,50
ethan.lakeyia@gatech.edu,7,10,10,10,10,47
