Email,problem0,problem1,problem2,problem3,problem4,problem5,Score
joseph.sherburne@gmail.com,5.5,10,3,3,1,5,27.5
isabella.suesan@gmail.com,10,10,--------,10,3,--------,33
sherry.ayleigh@aol.com,10,10,5,1,10,9,45
allison.link@yahoo.com,2.5,0,1,0,0,2,5.5
sherrie.rury@gmail.com,5.5,7,3,0,3,5,23.5
gino.branston@gatech.edu,10,10,6,7,10,4,45
james.makaleb@gmail.com,2.5,7,2,2,--------,2,15.5
leena.roah@gatech.edu,10,7,5,7,10,10,45
randolph.nathalye@gmail.com,10,10,5,7,8,10,45
randy.vincente@me.com,7.5,10,3,5,3,10,38.5
mark.trayvond@gatech.edu,10,10,9,10,10,10,45
sharon.syniya@gmail.com,7.5,10,5,--------,3,4,29.5
jasmin.marjona@gmail.com,--------,10,8,10,--------,10,38
arlyn.orlandra@gmail.com,10,10,8,--------,10,10,45
jeffery.martrail@gatech.edu,10,10,6,3,3,4,36
john.ladia@mycit.ie,7.5,10,3,5,10,10,45
bonita.keneasha@gatech.edu,10,10,5,7,3,10,45
andrew.rish@hotmail.com,10,10,3,2,8,5,38
denise.zykai@gmail.com,10,10,1,--------,--------,10,31
daniel.raihan@gmail.com,10,10,4,2,10,10,45
amanda.nikya@gmail.com,10,10,--------,10,10,10,45
alice.matthewdavid@gmail.com,10,10,2,2,10,10,44
charles.saya@gmail.com,8,10,1,10,0,10,39
charles.monir@gatech.edu,7.5,10,5,2,3,5,32.5
glenda.ashritha@gmail.com,5.5,10,2,--------,10,9,36.5
george.kayleeanna@gmail.com,10,10,3,0,5,5,33
john.bergin@gatech.edu,7.5,10,--------,8,0,9,34.5
henry.marcenia@hel.fi,10,10,3,0,5,5,33
jack.othmar@gmail.com,7.5,10,--------,2,5,9,33.5
richard.chontell@gmail.com,5.5,10,--------,3,--------,10,28.5
coltin.taliya@hotmail.com,7.5,10,3,10,5,10,45
maryanne.kayge@gmail.com,10,10,2,9,--------,4,35
susan.arville@gatech.edu,10,10,8,3,5,10,45
conrad.rhonisha@vt.edu,10,10,6,2,5,2,35
elijah.lareta@gatech.edu,5,10,3,2,1,10,31
lyrik.tasmine@hotmail.com,10,10,2,10,10,10,45
patricia.richardjames@gmail.com,10,10,2,--------,0,10,32
myron.caidin@gatech.edu,10,10,8,3,1,2,34
lynn.adarryll@gmail.com,--------,10,8,3,--------,10,31
gerardo.allesha@gmail.com,10,10,2,3,10,10,45
lillian.pragna@gatech.edu,7.5,10,1,--------,3,10,31.5
gary.lamiek@gmail.com,7.5,10,8,--------,--------,10,35.5
joy.jaceion@gmail.com,9,10,4,2,3,9,37
elizabeth.america@gmail.com,10,10,2,4,10,10,45
mary.amedio@gatech.edu,10,10,1,--------,10,4,35
mary.daje@gmail.com,9,10,5,0,6,4,34
aaliyah.tayviona@gatech.edu,10,10,3,2,5,9,39
susan.analissa@enactdevelopment.com,7.5,10,2,3,3,5,30.5
boston.shyera@gmail.com,2.5,10,2,2,3,4,23.5
zitlaly.nester@valensdatalabs.com,10,10,2,10,1,4,37
kamil.keiarah@gmail.com,10,10,2,--------,5,4,31
philip.yoshinobu@gmail.com,10,10,2,0,1,4,27
leonard.fidensio@valensdatalabs.com,2.5,10,3,2,3,10,30.5
beckett.sameia@gatech.edu,8,10,2,--------,1,4,25
debra.shaheer@gmail.com,--------,10,5,10,2,10,37
payton.michoel@gmail.com,--------,10,7,--------,10,9,36
thomas.marlize@gmail.com,10,10,8,3,3,10,44
jessica.rinda@gatech.edu,--------,10,1,--------,--------,8,19
rebecca.latrea@gmail.com,9,10,6,7,3,10,45
jose.lakeeshia@rocketmail.com,10,10,5,10,--------,10,45
nikki.lysander@gmail.com,10,10,8,3,1,10,42
michael.volvi@gatech.edu,10,10,2,10,5,10,45
carlos.nasra@gatech.edu,7.5,10,2,2,10,10,41.5
brian.aloria@gmail.com,--------,10,2,2,3,5,22
ethel.gordon@uoregon.edu,10,7,8,7,8,5,45
shree.elica@gatech.edu,7.5,10,2,3,--------,9,31.5
mitchell.owin@gmail.com,4.5,10,2,0,3,4,23.5
bryce.daziah@gmail.com,7.5,10,3,5,3,10,38.5
charlene.cherree@gatech.edu,7.5,10,3,--------,5,5,30.5
jeanine.antesha@gmail.com,7.5,10,8,2,3,9,39.5
james.sephiroth@gmail.com,2.5,10,2,3,5,10,32.5
samantha.dreami@gmail.com,10,10,2,3,1,2,28
andrea.shayaan@gmail.com,9,10,1,4,3,5,32
mary.wesner@gatech.edu,7.5,10,2,2,3,9,33.5
heather.vedah@gmail.com,7.5,7,1,--------,1,10,26.5
david.viletta@gmail.com,7.5,10,3,2,3,10,35.5
edward.elizaida@gatech.edu,2.5,10,1,2,10,10,35.5
karin.abbey@gmail.com,7.5,10,2,5,3,5,32.5
alonso.tamarcus@gmail.com,7.5,10,2,2,8,8,37.5
charles.pavni@gmail.com,10,10,1,6,8,10,45
thomas.dyanni@gmail.com,4.5,10,9,--------,10,10,43.5
jennifer.menashe@iiitdm.ac.in,7.5,7,2,0,1,9,26.5
michael.jakeil@gmail.com,10,10,5,3,1,10,39
patricia.flodie@gatech.edu,7.5,10,1,0,0,10,28.5
