email,milestone,start date-time,submit date-time
kathy.tavaughn@gmail.com,problem0,Dec-07-2018 6:35:23 pm EST,Dec-08-2018 3:20:42 pm EST
jeri.robynn@gmail.com,problem0,Dec-08-2018 6:22:20 pm EST,Dec-09-2018 9:34:09 pm EST
jacolyn.deborahh@live.de,problem0,Dec-08-2018 11:08:02 am EST,Dec-08-2018 6:25:06 pm EST
alex.mesias@gmail.com,problem0,Dec-10-2018 12:38:00 pm EST,Dec-11-2018 9:32:30 pm EST
james.marcisha@gatech.edu,problem0,Dec-10-2018 10:09:25 am EST,Dec-11-2018 5:52:07 am EST
abigail.lanty@gatech.edu,problem0,Dec-08-2018 11:40:42 am EST,Dec-08-2018 9:49:09 pm EST
richard.chontell@gmail.com,problem0,Dec-06-2018 10:05:28 pm EST,Dec-07-2018 10:19:31 am EST
john.sujit@gmail.com,problem0,Dec-08-2018 3:53:01 pm EST,Dec-08-2018 8:59:22 pm EST
sierra.kyrsha@gatech.edu,problem0,Dec-09-2018 1:56:06 pm EST,Dec-10-2018 3:35:49 pm EST
mary.damarte@gmail.com,problem0,Dec-07-2018 10:05:14 pm EST,Dec-07-2018 10:18:15 pm EST
matthew.amidala@gmail.com,problem0,Dec-09-2018 9:10:38 pm EST,Dec-10-2018 12:39:45 am EST
mary.daje@gmail.com,problem0,Dec-07-2018 11:02:07 am EST,Dec-08-2018 10:13:31 pm EST
robert.burnest@gmail.com,problem0,Dec-09-2018 11:38:58 am EST,Dec-10-2018 10:09:40 pm EST
samuel.anoria@gmail.com,problem0,Dec-08-2018 12:56:59 pm EST,Dec-09-2018 1:26:06 pm EST
carl.shavannah@gatech.edu,problem0,Dec-10-2018 4:14:08 pm EST,Dec-11-2018 2:37:11 pm EST
jan.taqi@gatech.edu,problem0,Dec-08-2018 10:53:11 am EST,Dec-08-2018 3:48:08 pm EST
gino.branston@gatech.edu,problem0,Dec-06-2018 9:31:59 am EST,Dec-06-2018 11:19:58 am EST
mollie.gaines@gmail.com,problem0,Dec-08-2018 11:10:02 am EST,Dec-09-2018 12:27:06 pm EST
james.amiee@gmail.com,problem0,Dec-08-2018 11:25:10 am EST,Dec-09-2018 3:13:15 pm EST
mary.ceniyah@brunswickschool.org,problem0,Dec-07-2018 5:23:10 pm EST,Dec-08-2018 2:52:20 pm EST
betsy.rictoria@bucknell.edu,problem0,Dec-08-2018 9:38:54 am EST,Dec-08-2018 1:48:32 pm EST
bonita.keneasha@gatech.edu,problem0,Dec-06-2018 12:02:15 pm EST,Dec-06-2018 12:41:42 pm EST
susan.analissa@enactdevelopment.com,problem0,Dec-07-2018 11:13:16 am EST,Dec-07-2018 3:26:12 pm EST
charles.purdy@hotmail.com,problem0,Dec-09-2018 1:18:56 pm EST,Dec-09-2018 6:20:03 pm EST
matthew.juhi@gmail.com,problem0,Dec-08-2018 4:05:00 am EST,Dec-08-2018 11:27:54 am EST
michael.johnjack@gmail.com,problem0,Dec-07-2018 8:27:18 pm EST,Dec-07-2018 9:18:33 pm EST
michael.corderick@gmail.com,problem0,Dec-09-2018 6:41:25 pm EST,Dec-10-2018 7:38:18 pm EST
bonnie.dreylan@gatech.edu,problem0,Dec-10-2018 10:00:09 am EST,Dec-10-2018 3:21:40 pm EST
betty.pancho@gmail.com,problem0,Dec-09-2018 2:44:06 pm EST,Dec-10-2018 1:40:22 pm EST
nancy.lebrandon@gmail.com,problem0,Dec-08-2018 9:55:30 am EST,Dec-08-2018 1:44:07 pm EST
