Email,problem0,problem1,problem2,problem3,problem4,Earned
jessie.armetta@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
matthew.jacon@yahoo.com,10.0,10.0,10.0,2.0,5.0,37.0
fernando.jenzel@gmail.com,10.0,10.0,10.0,,10.0,40.0
rosemary.kevondrick@gmail.com,5.0,7.0,10.0,10.0,10.0,42.0
betty.pancho@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
sharon.syniya@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
donald.hendrick@gmail.com,5.0,10.0,5.0,,5.0,25.0
david.luchia@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
edward.elizaida@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
cecelia.iraa@queensu.ca,10.0,10.0,10.0,10.0,8.0,48.0
jasmin.marjona@gmail.com,,0.0,10.0,10.0,5.0,25.0
charles.monir@gatech.edu,5.0,10.0,10.0,10.0,6.0,41.0
elizabeth.eizabella@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
mae.renzie@aol.com,8.0,10.0,10.0,8.0,10.0,46.0
jessie.telesfor@gatech.edu,7.0,10.0,10.0,10.0,6.0,43.0
kristina.lichelle@hotmail.com,5.0,10.0,,,,15.0
christine.leani@yahoo.com,5.0,7.0,10.0,4.0,6.0,32.0
brian.nansy@gmail.com,10.0,10.0,10.0,,1.0,31.0
randolph.nathalye@gmail.com,7.0,10.0,10.0,9.0,10.0,46.0
matthew.amidala@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
susan.sanai@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
samiel.yustin@gatech.edu,10.0,10.0,10.0,2.0,10.0,42.0
isabella.suesan@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
devon.jayion@gmail.com,10.0,10.0,10.0,8.0,6.0,44.0
jasmine.cread@gatech.edu,10.0,10.0,10.0,6.0,10.0,46.0
jamilah.marcellyn@yahoo.com,10.0,10.0,10.0,10.0,5.0,45.0
daniel.raihan@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
arlyn.orlandra@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
joseph.neethu@gmail.com,10.0,10.0,10.0,6.0,5.0,41.0
mary.kavaris@gmail.com,5.0,7.0,10.0,7.0,10.0,39.0
michael.jakeil@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
