Email,problem0,problem1,problem2,problem3,problem4,problem5,Earned
joseph.sherburne@gmail.com,5.5,10.0,3.0,3.0,1.0,5.0,27.5
isabella.suesan@gmail.com,10.0,10.0,,10.0,3.0,,33.0
sherry.ayleigh@aol.com,10.0,10.0,5.0,1.0,10.0,9.0,45.0
allison.link@yahoo.com,2.5,0.0,1.0,0.0,0.0,2.0,5.5
sherrie.rury@gmail.com,5.5,7.0,3.0,0.0,3.0,5.0,23.5
gino.branston@gatech.edu,10.0,10.0,6.0,7.0,10.0,4.0,47.0
james.makaleb@gmail.com,2.5,7.0,2.0,2.0,,2.0,15.5
leena.roah@gatech.edu,10.0,7.0,5.0,7.0,10.0,10.0,49.0
randolph.nathalye@gmail.com,10.0,10.0,5.0,7.0,8.0,10.0,50.0
randy.vincente@me.com,7.5,10.0,3.0,5.0,3.0,10.0,38.5
mark.trayvond@gatech.edu,10.0,10.0,9.0,10.0,10.0,10.0,59.0
sharon.syniya@gmail.com,7.5,10.0,5.0,,3.0,4.0,29.5
jasmin.marjona@gmail.com,,10.0,8.0,10.0,,10.0,38.0
arlyn.orlandra@gmail.com,10.0,10.0,8.0,,10.0,10.0,48.0
jeffery.martrail@gatech.edu,10.0,10.0,6.0,3.0,3.0,4.0,36.0
john.ladia@mycit.ie,7.5,10.0,3.0,5.0,10.0,10.0,45.5
bonita.keneasha@gatech.edu,10.0,10.0,5.0,7.0,3.0,10.0,45.0
andrew.rish@hotmail.com,10.0,10.0,3.0,2.0,8.0,5.0,38.0
denise.zykai@gmail.com,10.0,10.0,1.0,,,10.0,31.0
daniel.raihan@gmail.com,10.0,10.0,4.0,2.0,10.0,10.0,46.0
amanda.nikya@gmail.com,10.0,10.0,,10.0,10.0,10.0,50.0
alice.matthewdavid@gmail.com,10.0,10.0,2.0,2.0,10.0,10.0,44.0
charles.saya@gmail.com,8.0,10.0,1.0,10.0,0.0,10.0,39.0
charles.monir@gatech.edu,7.5,10.0,5.0,2.0,3.0,5.0,32.5
glenda.ashritha@gmail.com,5.5,10.0,2.0,,10.0,9.0,36.5
george.kayleeanna@gmail.com,10.0,10.0,3.0,0.0,5.0,5.0,33.0
