Email,problem0,problem1,problem2,problem3,problem4
sammie.jaydaa@gmail.com,7,10,10,10,10
juan.quay@aol.com,10,10,6.5,0,--------
gino.branston@gatech.edu,10,5,10,10,10
robert.gioanna@gatech.edu,10,10,10,10,10
adam.evemarie@gmail.com,10,10,10,10,10
christine.leani@yahoo.com,7,5,9,10,10
hattie.gabriella@gmail.com,10,10,10,10,7
fatima.shack@gmail.com,10,10,10,10,10
isabella.suesan@gmail.com,10,10,10,10,10
edward.elizaida@gatech.edu,10,10,10,5,10
bridget.zykeira@gmail.com,7,10,8,10,10
jude.ahsir@gatech.edu,10,10,10,10,7
allison.link@yahoo.com,7,2,--------,--------,--------
kari.reighlynn@gatech.edu,5,10,10,10,10
daniel.raihan@gmail.com,10,10,10,10,10
aneesa.blaidyn@aol.com,10,10,10,10,10
erika.diaan@gmail.com,10,10,10,5,10
lawrence.kiyona@hotmail.com,4,8,5.5,10,6
michaela.ashauria@gmail.com,10,10,10,10,10
susan.jannick@gmail.com,10,10,10,5,10
rene.amritpal@gmail.com,10,10,10,10,10
pamela.chasitity@gatech.edu,10,10,10,5,10
tavares.alymuhammad@gmail.com,10,10,9,10,6
damon.martise@gmail.com,10,10,10,10,6
betty.pancho@gmail.com,10,10,10,10,10
jessie.telesfor@gatech.edu,10,10,10,10,10
ron.mariadelosangel@gmail.com,5,10,10,10,10
rita.devun@gmail.com,7,10,9,10,10
madeline.soila@gatech.edu,10,10,10,10,10
nathan.raylean@hotmail.com,7,10,10,10,10
blair.olivianna@gmail.com,10,10,9,10,6
bryce.daziah@gmail.com,2,10,10,10,2
audrey.khushbu@gmail.com,10,2,9,--------,1
virginia.marqell@gmail.com,4,10,10,5,10
charles.monir@gatech.edu,10,10,10,5,10
barbara.dewarren@gmail.com,10,10,10,2,10
kathy.kym@gmx.at,10,10,10,10,10
buddy.keyria@gmail.com,10,10,10,10,6
janet.tenaj@gmail.com,10,10,10,5,10
jack.othmar@gmail.com,5,10,10,10,10
jessi.reggan@gmail.com,10,10,10,10,10
david.caswell@duke.edu,7,3,10,2,--------
george.hinata@gatech.edu,10,10,10,10,8
devan.sameya@gmail.com,7,10,10,10,10
mary.amedio@gatech.edu,10,10,10,10,5
max.nequita@valensdatalabs.com,10,10,10,5,10
sharon.syniya@gmail.com,10,10,9,7,10
karen.adnrew@google.com,10,10,9,10,10
barbara.wilhemina@gatech.edu,10,2,0,0,0
bonna.tahisha@yahoo.com,10,10,10,10,7
randy.vincente@me.com,7,10,10,10,6
mel.gilman@gatech.edu,7,10,8,--------,1
daniel.tashera@gmail.com,10,10,10,5,6
tiffany.quindell@gmail.com,10,10,10,10,10
jan.taqi@gatech.edu,10,10,10,10,6
ronald.elfie@gmail.com,7,10,10,10,10
eileen.malu@gmail.com,10,10,10,10,6
elizabeth.america@gmail.com,10,10,10,10,10
jessie.armetta@gatech.edu,10,10,10,10,10
bradley.dailey@case.edu,10,10,10,10,10
emily.zoeyann@gmail.com,10,10,10,10,10
earl.mahika@gmail.com,10,10,10,10,10
alice.matthewdavid@gmail.com,10,10,10,10,10
ryo.hinano@hotmail.co.jp,7,10,9,10,10
denise.zykai@gmail.com,10,10,10,10,6
heather.vedah@gmail.com,7,--------,0,10,0
philip.lebarron@gmail.com,10,10,10,10,10
charles.saya@gmail.com,10,10,10,10,10
cody.eastin@gmail.com,10,10,10,10,6
anquette.zeshaun@gmail.com,10,10,10,10,10
destiny.charnaye@gatech.edu,10,10,10,10,10
sergio.cherye@gmail.com,10,10,10,10,6
george.kayleeanna@gmail.com,10,10,10,10,10
henry.marcenia@hel.fi,10,10,10,10,10
william.sanvi@gmail.com,10,10,9,5,10
dustin.maleeah@gmail.com,7,10,10,10,10
juanita.esiah@gmail.com,10,10,10,10,10
coltin.taliya@hotmail.com,10,10,8,10,10
stacie.swadha@gmail.com,10,10,10,10,10
payton.michoel@gmail.com,10,10,10,10,10
tina.davontaye@gmail.com,10,10,10,10,10
hayden.mixtly@ieee.org,10,10,10,10,10
susan.sanai@gatech.edu,10,10,10,10,10
chad.kamiyra@gatech.edu,10,10,10,10,10
betsy.rictoria@bucknell.edu,7,10,10,10,10
chad.darnella@gmail.com,10,10,10,10,10
gale.syler@gmail.com,10,10,10,5,10
edna.teerica@gmail.com,10,10,10,7,5
lyrik.tasmine@hotmail.com,10,10,10,10,10
trey.haldrin@gmail.com,7,10,10,10,10
peter.branwyn@gmail.com,7,10,10,10,10
jasmine.cread@gatech.edu,2,10,9,10,10
kai.rex@gmail.com,7,10,10,10,10
thomas.masao@gmail.com,10,10,10,5,10
bruce.ranelle@gmail.com,7,10,--------,--------,--------
jonathan.nilsa@gmail.com,10,10,10,5,10
savanna.equasha@gatech.edu,10,10,10,5,10
james.marcisha@gatech.edu,10,10,10,10,10
